Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates,record_type
Street Lighting,2400.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,33.26,40.0,30.0,26.11823,30.0,36,33.13,35,49.0,54.0,record
Street Lighting,2400.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,20.68,24.0,20.0,11.7841,20.0,13,14.23,14,67.0,77.0,record
Street Lighting,2400.0,Establishment Expenses,210.0,CCA,2101004.0,1.81,2.0,2.0,0.822,2.0,2,2.33,2,4.5,4.5,record
Street Lighting,2400.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,0.77,2.0,1.0,0.79582,1.0,2,6.01,2,17.0,19.0,record
Street Lighting,2400.0,Establishment Expenses,210.0,Interim Relief,2101006.0,0.0,2.0,2.0,1.78601,2.0,7,13.07,7,5.5,2.5,record
Street Lighting,2400.0,Establishment Expenses,210.0,Salary Reimbursement to Parent Departments,2101051.0,627.3,250.0,609.65,0.0,329.9,0,0.0,0,0.0,0.0,record
Street Lighting,2400.0,Operation & Maintenance,230.0,Power Charges for Street Lighting,2301001.0,12394.43,14000.0,13077.17,17809.48587,16000.0,18200,16939.46,20000,17485.0,18216.7,record
Street Lighting,2400.0,Operation & Maintenance,230.0,Power Charges for Water Pumping,2301002.0,167.03,800.0,800.0,731.0824,816.79,800,1475.83,600,1471.32,1568.95,record
Street Lighting,2400.0,Operation & Maintenance,230.0,Repairs & Maintenance to Street Lighting,2305009.0,2998.32,5000.0,3900.0,3291.28027,6545.0,7800,3364.62,2500,3433.0,3850.3,record
Total for Street Lighting (2400),,,,,,16321.58,20218.0,18531.82,21909.94954,23836.69,26905,21903.1,23205,22884.32,24195.95,total
Transportation Planning,2602.0,Establishment Expenses,210.0,Basic Pay,2101001.0,20.18,1.06,20.0,0.0,20.0,0,1.95,0,0.0,0.0,record
Transportation Planning,2602.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,9.05,0.6,10.0,0.0,10.0,0,0.0,0,0.0,0.0,record
Transportation Planning,2602.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,5.69,0.62,10.0,0.0,10.0,0,0.0,0,0.0,0.0,record
Transportation Planning,2602.0,Establishment Expenses,210.0,CCA,2101004.0,0.39,0.01,1.0,0.0,1.0,0,0.0,0,0.0,0.0,record
Transportation Planning,2602.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,0.77,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0.0,record
Transportation Planning,2602.0,Operation & Maintenance,230.0,Repairs & Maintenance of Traffic Signals,2305008.0,134.12,125.0,125.0,89.39597,128.0,140,28.65,300,100.0,125.0,record
Transportation Planning,2602.0,Operation & Maintenance,230.0,Road Marking,2305910.0,0.0,130.0,187.5,75.4213,213.5,150,137.68,70,30.0,35.0,record
Total for Transportation Planning (2602),,,,,,170.2,257.29,354.5,164.81727,383.5,290,168.28,370,130.0,160.0,total
Public Works-General,2801.0,Establishment Expenses,210.0,Basic Pay,2101001.0,2036.07,2698.0,2370.0,2132.45442,2930.0,2680,2171.02,2735,3220.0,3473.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,992.14,1110.0,770.0,1278.53351,1050.0,1760,1614.31,1635,1083.0,1354.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,574.24,780.05,630.0,604.99452,640.0,670,610.98,695,1183.0,1290.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,CCA,2101004.0,40.62,110.2,80.0,45.05383,80.0,65,52.54,80,107.0,120.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,64.55,72.7,60.0,59.51105,60.0,140,183.75,130,191.0,201.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,Interim Relief,2101006.0,7.31,30.06,40.0,111.09167,50.0,452,436.35,407,152.96,126.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0,14.52,0,126.04,134.2,record
Public Works-General,2801.0,Establishment Expenses,210.0,Salary Reimbursement to Parent Departments,2101051.0,0.2,1.8,2.0,0.0,2.0,0,0.47,0,1.25,3.3,record
Public Works-General,2801.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,251.79,0,128.0,139.0,record
Public Works-General,2801.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0,4.85,0,8.0,10.33,record
Public Works-General,2801.0,Administrative Expenses,220.0,Office Electricity Charges,2201101.0,0.88,8.0,10.0,10.82055,10.0,30,2.91,20,6.0,7.0,record
Public Works-General,2801.0,Administrative Expenses,220.0,"Office Telephone, Mobiles, Fax and Leased Lines",2201201.0,1.77,2.65,3.0,0.4081,3.0,4,0.29,2,2.0,3.0,record
Public Works-General,2801.0,Administrative Expenses,220.0,Hiring Charges for Light Vehicles (Other than Conservancy),2203004.0,9.0,13.0,20.0,0.0,20.0,0,0.0,0,0.0,0.0,record
Public Works-General,2801.0,Administrative Expenses,220.0,Consultancy Charges,2205201.0,2.3,72.8,50.0,0.0,50.0,0,104.49,0,0.0,0.0,record
Public Works-General,2801.0,Administrative Expenses,220.0,Other Professional Charges,2205202.0,119.52,80.57,59.67,6.00036,0.0,20,0.0,25,100.0,125.0,record
Public Works-General,2801.0,Administrative Expenses,220.0,Payment from 3% Contingency,2208051.0,49.39,11.38,4.51,9.21409,6.95,8,0.0,8,16.0,16.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Repairs and Maintenance of Major Roads & Pavements,2305001.0,6709.47,6500.0,6200.0,2366.28015,8500.0,8500,5666.36,3800,3650.0,3975.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Repairs and Maintenance to Inner Roads,2305002.0,2860.95,6000.0,4770.0,2105.06841,7500.0,7500,2542.57,3000,3766.15,4129.41,record
Public Works-General,2801.0,Operation & Maintenance,230.0,"Repairs and maintenance to Bridges, Culverts & Flyovers",2305003.0,73.05,175.0,502.0,218.13574,543.0,500,35.45,350,355.0,365.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Sewerage Lines (O&M),2305006.0,0.0,0.0,300.0,110.97109,500.0,500,334.53,600,702.33,777.56,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Repairs and Maintenance to Storm Water Drains,2305007.0,3302.74,4000.0,4510.0,3487.66394,6000.0,6000,3790.03,4400,5055.5,5460.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Rain Water Harvesting Structure,2305011.0,0.0,300.0,210.0,0.84754,419.8,400,1.19,400,231.0,266.5,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Road Cutting and Restoration,2305021.0,897.46,2000.0,1730.0,686.38879,2500.0,2500,1209.24,950,1960.0,2760.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Repairs and Maintenance to Buildings,2305205.0,679.8,500.0,1689.24,483.48437,1100.99,850,500.83,600,927.0,1030.8,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Maintenance of Heritage Structures / Buildings,2305206.0,7.91,500.0,500.0,0.0,510.0,50,0.0,400,210.0,225.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,"Repairs and Maintenance to Furniture, Fixtures and Equipment",2305901.0,110.33,120.0,178.66,41.22326,247.41,350,35.43,300,212.0,233.79,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Repairs and Maintenance to Computers & Network,2305902.0,0.0,382.0,56.84,0.0,59.12,200,0.0,100,54.0,64.4,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Demolition & Removal Expenses,2308007.0,42.67,65.0,317.39,117.97248,300.0,400,115.04,400,272.0,298.0,record
Public Works-General,2801.0,Operation & Maintenance,230.0,Quality Control Expenses,2308008.0,0.02,90.0,79.5,4.85395,99.91,120,5.02,300,251.0,283.0,record
Total for Public Works-General (2801),,,,,,18582.39,25623.21,25142.81,13880.97182,33182.18,33699,19683.96,21337,23970.23,26870.29,total
Public Health,3100.0,Establishment Expenses,210.0,Basic Pay,2101001.0,7921.65,9718.0,8620.0,6772.87892,9728.03,8500,6107.7,8685,9371.81,10895.13,record
Public Health,3100.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,3493.17,3586.5,2500.0,3982.59812,3043.61,5485,4554.6,5095,2571.87,3442.86,record
Public Health,3100.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,2108.41,2699.1,2149.1,1914.65238,2184.59,2125,1764.68,2195,2881.21,3094.24,record
Public Health,3100.0,Establishment Expenses,210.0,CCA,2101004.0,178.95,309.67,215.23,164.31464,245.06,225,155.64,282,231.49,257.03,record
Public Health,3100.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,98.14,161.5,135.76,183.56847,145.61,430,474.79,405,398.95,540.27,record
Public Health,3100.0,Establishment Expenses,210.0,Interim Relief,2101006.0,12.69,70.45,118.18,288.16446,118.98,1175,1212.4,1054,189.79,248.0,record
Public Health,3100.0,Establishment Expenses,210.0,Wages to Sanitation Workers Through Contractors/Societies,2101023.0,17723.97,17601.0,22355.0,20980.2025202,22693.95,27700,25944.67,30000,26550.0,30589.63,record
Public Health,3100.0,Establishment Expenses,210.0,Wages to Entomology Workers Through Contractors/Societies,2101024.0,1865.04,2000.0,2957.31,2846.42889,3173.52,3535,2971.24,2450,3155.39,3415.36,record
Public Health,3100.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,3933.0,0,3400.0,3516.56,record
Public Health,3100.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,10.0,5.0,0.0,5.0,0,23.3,0,155.0,221.0,record
Public Health,3100.0,Administrative Expenses,220.0,"Insurance for Vehicles, Equipment and Taxes",2201003.0,65.02,200.0,175.0,108.62833,200.0,300,0.0,115,207.1,210.13,record
Public Health,3100.0,Administrative Expenses,220.0,Office Electricity Charges,2201101.0,76.37,1.5,80.0,0.98966,80.0,50,4.36,30,11.0,12.0,record
Public Health,3100.0,Administrative Expenses,220.0,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201.0,0.33,0.0,1.0,0.13843,1.0,4,0.1,2,2.0,2.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Fuel for Light Vehicles,2301003.0,2713.18,450.0,365.0,271.34669,192.89,300,19.09,350,200.0,210.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Fuel for Heavy Vehicles,2301004.0,3529.05,4850.0,5630.53,7007.04716,6500.0,10100,8182.72,7650,9374.5,9747.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Fuel for Staff Vehicles,2301005.0,317.89,700.0,350.0,348.33181,450.0,500,333.8,500,450.0,460.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Purchase of Medicines,2302002.0,0.27,12.0,12.0,0.52905,21.5,30,3.4,30,15.0,17.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Rent and Hire Chares of Vehicles and Machinery,2304001.0,3049.7,2400.0,4170.0,4836.80761,4857.21,6300,4729.1,4000,4768.4,5153.85,record
Public Health,3100.0,Operation & Maintenance,230.0,Rent and Hire of Mechanical Sweeping Services,2304003.0,0.0,0.0,0.0,0.0,3600.0,1200,0.0,500,300.0,310.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Repairs and Maintenance to Public Toilets,2305109.0,38.46,150.0,151.6,34.31245,159.63,150,35.69,250,212.5,234.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Swatch Bharath,2305120.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,373.0,403.0,record
Public Health,3100.0,Operation & Maintenance,230.0,Repairs and Maintenance to Burial Grounds,2305115.0,124.52,400.0,615.0,196.96079,1754.55,1000,207.43,1100,533.0,568.3,record
Public Health,3100.0,Operation & Maintenance,230.0,Repairs and Maintenance to Vehicles,2305301.0,2923.49,500.0,3000.0,3771.48377,3200.0,3200,3176.81,3000,3211.1,3512.63,record
Public Health,3100.0,Operation & Maintenance,230.0,Expenses on Unclaimed Dead Bodies,2308011.0,4.4,35.0,33.48,10.096,38.24,80,9.49,50,132.5,146.8,record
Public Health,3100.0,Operation & Maintenance,230.0,Control of Stray Animals,2308012.0,579.26,700.0,650.0,565.41874,750.0,680,609.35,440,835.0,919.0,record
Public Health,3100.0,Operation & Maintenance,230.0,"Sanitation / Conservancy Tools, Material and Expenses",2308013.0,5482.22,2600.0,1485.0,1173.02355,1600.0,2900,1540.06,2500,1718.0,1874.2,record
Public Health,3100.0,Operation & Maintenance,230.0,Maintenance of Garbage Dumping Yards / Transfer Stations/Dumper Bins,2308015.0,7040.16,5000.0,150.0,141.67422,500.0,500,20.19,500,1075.0,434.73,record
Public Health,3100.0,Operation & Maintenance,230.0,Maintenance of Slaughter House,2308016.0,2.9,15.0,17.0,0.0,18.75,120,0.0,350,145.85,161.53,record
Public Health,3100.0,Programme Expenses,250.0,"Urban Malaria Eradication -Purchase of Materials, Tools, Oils etc.",2502002.0,1023.89,750.0,898.0,232.1337368,1200.0,1100,87.9,400,207.0,227.0,record
Public Health,3100.0,Programme Expenses,250.0,"Urban Dengue Eradication - Purchase of Material, Tools, Oils & Wages etc.",2502012.0,0.0,0.0,300.0,0.0,100.0,100,74.95,100,50.0,75.0,record
Total for Public Health (3100),,,,,,60373.13,54919.72,57139.19,55831.730397,66562.12,77789,66176.46,72033,72726.46,80898.25,total
Veterinary Services,4300.0,Establishment Expenses,210.0,Basic Pay,2101001.0,0.0,2.67,0.0,9.26295,0.0,12,35.45,12,117.7,128.57,record
Veterinary Services,4300.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,0.0,2.89,0.0,4.0785,0.0,6,18.0,5,21.64,26.7,record
Veterinary Services,4300.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,0.0,0.7,0.0,2.47764,0.0,3,6.83,3,36.8,38.75,record
Veterinary Services,4300.0,Establishment Expenses,210.0,CCA,2101004.0,0.0,0.33,1.0,0.2135,1.0,1,0.49,1,2.47,2.63,record
Veterinary Services,4300.0,Establishment Expenses,210.0,Conveyance & Other Allowance,2101005.0,0.0,0.0,0.0,0.0,0.0,0,1.68,0,2.45,2.87,record
Veterinary Services,4300.0,Establishment Expenses,210.0,Interim Relief,2101006.0,0.0,0.0,0.0,0.0,0.0,0,5.46,0,1.75,1.0,record
Veterinary Services,4300.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,94.59,0,108.85,119.27,record
Veterinary Services,4300.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0,0.01,0,20.0,82.0,record
Total for Veterinary Services (4300),,,,,,0.0,6.59,1.0,16.03259,1.0,22,162.51,21,311.66,401.79,total
Water Supply,5100.0,Operation & Maintenance,230.0,Power Charges for Water Pumping,2301002.0,929.76,0.0,100.0,0.0,100.0,1000,0.0,1000,650.11,632.05,record
Water Supply,5100.0,Operation & Maintenance,230.0,Water Supply Maintenance,2308019.0,3065.62,4993.0,6738.87,7851.54101,7428.49,7400,3547.57,3000,2640.0,3617.5,record
Total for Water Supply (5100),,,,,,3995.38,4993.0,6838.87,7851.54101,7528.49,8400,3547.57,4000,3290.11,4249.55,total
Fire Services,5300.0,Establishment Expenses,210.0,Basic Pay,2101001.0,0.0,0.0,0.0,0.0,0.0,0,2.9,0,0.0,0.0,record
Fire Services,5300.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,0.96,1.5,2.0,0.36048,2.0,1,2.08,1,0.0,0.0,record
Fire Services,5300.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,0.28,1.5,10.0,0.2256,10.0,1,1.24,1,0.0,0.0,record
Total for Fire Services (5300),,,,,,1.24,3.0,12.0,0.58608,12.0,2,6.22,2,0.0,0.0,total
Play Grounds,6200.0,Establishment Expenses,210.0,Basic Pay,2101001.0,198.84,226.0,200.0,185.23024,200.0,230,184.5,235,265.0,320.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,98.56,92.0,60.0,114.39234,70.0,155,142.93,145,74.0,88.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,58.69,79.0,60.0,55.8134,60.0,60,55.66,65,79.0,95.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,CCA,2101004.0,6.14,7.05,10.0,4.50673,10.0,7,4.19,8,6.5,9.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,1.75,1.0,1.0,6.62866,1.0,15,5.51,15,15.5,18.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Interim Relief,2101006.0,0.22,1.0,1.0,11.05796,1.0,45,46.09,40,12.0,15.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0,0.29,0,5.0,8.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Educational Concession & Scholarships,2102010.0,0.0,0.0,0.0,0.0,500.0,100,2.85,200,25.0,100.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,18.01,0,50.0,75.0,record
Play Grounds,6200.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0,0.53,0,5.0,10.0,record
Play Grounds,6200.0,Administrative Expenses,220.0,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201.0,0.04,0.0,1.0,0.0,1.0,4,0.0,2,1.0,1.0,record
Play Grounds,6200.0,Administrative Expenses,220.0,Subscriptions & Membership Fees,2206102.0,0.0,12.0,12.0,0.0,14.0,10,0.06,5,5.0,5.5,record
Play Grounds,6200.0,Operation & Maintenance,230.0,Repairs and Maintenance to Play Grounds,2305105.0,169.78,300.0,318.0,142.7491,786.07,790,76.56,180,207.0,255.0,record
Play Grounds,6200.0,Operation & Maintenance,230.0,Swimming Pools,2305106.0,0.0,0.0,0.0,0.0,0.0,10,0.0,20,49.0,61.0,record
Play Grounds,6200.0,Programme Expenses,250.0,Summer/Winter Coaching Camps,2502009.0,19.88,60.0,75.0,23.36711,85.0,250,14.45,400,112.0,375.0,record
Total for Play Grounds (6200),,,,,,553.9,778.05,738.0,543.74554,1728.07,1676,551.63,1315,911.0,1435.5,total
Urban Forestry,6400.0,Establishment Expenses,210.0,Basic Pay,2101001.0,20.66,73.5,70.0,37.56183,70.0,50,76.12,50,212.0,224.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,10.36,22.0,20.0,24.28019,20.0,35,57.75,30,105.0,113.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,5.85,23.5,20.0,12.11108,20.0,14,22.4,14,75.0,80.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,CCA,2101004.0,0.35,3.0,3.0,1.1947,3.0,2,1.49,2,6.5,7.5,record
Urban Forestry,6400.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,0.2,1.0,1.0,1.54071,1.0,4,7.54,4,15.0,16.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,Interim Relief,2101006.0,0.07,1.0,1.0,2.15807,1.0,9,14.07,8,13.5,8.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0,0.0,0.0,record
Urban Forestry,6400.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,record
Urban Forestry,6400.0,Administrative Expenses,220.0,Office Electricity Charges,2201101.0,26.68,37.5,40.0,0.0,50.0,40,42.02,25,75.0,87.0,record
Urban Forestry,6400.0,Administrative Expenses,220.0,Office Water Charges,2201102.0,0.18,0.0,2.0,0.01748,4.0,15,0.0,5,4.0,4.53,record
Urban Forestry,6400.0,Administrative Expenses,220.0,Organisation of Festivals,2206005.0,0.0,0.0,0.0,0.61803,0.0,0,3.33,0,5.0,6.0,record
Urban Forestry,6400.0,Administrative Expenses,220.0,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006.0,0.0,4.0,20.0,0.0,22.0,50,2.76,20,8.0,9.0,record
Urban Forestry,6400.0,Operation & Maintenance,230.0,Repairs and Maintenance to City Level Parks,2305101.0,428.97,560.0,440.0,302.44103,1750.0,1200,573.49,500,620.0,655.0,record
Urban Forestry,6400.0,Operation & Maintenance,230.0,Repairs and Maintenance to Colony Parks,2305103.0,538.89,600.0,627.0,842.7776711,1550.12,1600,1040.25,1000,1218.24,1385.0,record
Urban Forestry,6400.0,Operation & Maintenance,230.0,Nursery,2305107.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,record
Urban Forestry,6400.0,Operation & Maintenance,230.0,Avenue and Other Plantations,2305112.0,0.0,0.0,2.0,0.0,28.0,50,0.0,90,85.0,85.0,record
Urban Forestry,6400.0,Operation & Maintenance,230.0,Traffic Islands /Central Media,2305113.0,0.0,0.0,2.0,0.0,103.0,100,0.0,90,89.0,89.0,record
Total for Urban Forestry (6400),,,,,,1032.21,1325.5,1248.0,1224.7007911,3622.12,3169,1846.22,1838,2531.24,2769.03,total
Horticulture,6401.0,Establishment Expenses,210.0,Basic Pay,2101001.0,788.53,844.25,750.0,738.5614,760.0,925,663.51,945,1339.0,1443.0,record
Horticulture,6401.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,365.25,346.7,240.0,405.32663,364.39,555,478.48,515,400.25,467.0,record
Horticulture,6401.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,215.5,270.0,220.0,203.2992,220.0,225,193.74,234,429.5,443.0,record
Horticulture,6401.0,Establishment Expenses,210.0,CCA,2101004.0,16.98,30.7,20.0,15.67192,20.0,23,14.52,28,34.0,35.53,record
Horticulture,6401.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,1.14,6.3,2.0,1.05125,2.0,3,21.86,3,26.5,28.53,record
Horticulture,6401.0,Establishment Expenses,210.0,Interim Relief,2101006.0,0.73,3.0,3.0,37.74164,3.0,150,116.19,138,35.71,26.5,record
Horticulture,6401.0,Establishment Expenses,210.0,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0,3.78,0,48.2,51.0,record
Horticulture,6401.0,Establishment Expenses,210.0,Honorarium (Others),2101010.0,0.0,0.0,0.0,0.0,0.0,0,0.62,0,0.0,0.0,record
Horticulture,6401.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,201.77,0,195.0,216.0,record
Horticulture,6401.0,Establishment Expenses,210.0,Family Pension,2103002.0,0.0,0.0,0.0,0.0,0.0,0,0.24,0,9.0,10.0,record
Horticulture,6401.0,Establishment Expenses,210.0,Salary Reimbursement to Parent Departments,2101051.0,0.01,0.5,1.0,0.0,1.0,0,0.0,0,0.0,0.0,record
Horticulture,6401.0,Administrative Expenses,220.0,Office Electricity Charges,2201101.0,27.96,28.1,30.0,33.22163,30.0,70,62.7,48,65.0,70.0,record
Horticulture,6401.0,Administrative Expenses,220.0,Office Water Charges,2201102.0,7.11,8.85,8.85,6.64925,10.0,30,5.29,15,13.0,15.0,record
Horticulture,6401.0,Operation & Maintenance,230.0,Repairs and Maintenance to City Level Parks,2305101.0,8.76,40.0,50.07,71.44461,54.21,600,114.24,200,211.0,236.0,record
Horticulture,6401.0,Operation & Maintenance,230.0,Repairs and Maintenance to Colony Parks,2305103.0,132.0,300.0,300.0,282.471095,1000.0,1100,454.37,300,385.5,420.0,record
Total for Horticulture (6401),,,,,,1563.97,1878.4,1624.92,1795.438625,2464.6,3681,2331.31,2426,3191.66,3461.56,total
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Basic Pay,2101001.0,329.51,273.5,240.0,208.97013,250.0,260,134.42,265,437.0,468.0,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,156.8,135.85,90.0,114.33801,100.0,155,97.15,145,136.25,145.0,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,House Rent Allowance,2101003.0,94.57,101.8,80.0,59.14115,80.0,65,38.16,68,158.5,170.4,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,CCA,2101004.0,7.89,15.03,10.0,4.78769,10.0,7,2.8,9,12.58,14.6,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Conveyance & Other Allowances,2101005.0,1.77,8.7,2.0,26.05528,2.0,60,25.9,55,53.4,57.53,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Interim Relief,2101006.0,2.64,9.2,10.0,2.33605,10.0,10,11.79,9,6.18,4.5,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Surrender Leave Encashment,2101007.0,0.0,0.0,0.0,0.0,0.0,0,3.09,0,24.18,24.9,record
Urban Poverty Alleviation,7800.0,Establishment Expenses,210.0,Service Pension,2103001.0,0.0,0.0,0.0,0.0,0.0,0,85.98,0,137.0,141.0,record
Urban Poverty Alleviation,7800.0,Administrative Expenses,220.0,Office Electricity Charges,2201101.0,29.51,72.0,50.0,30.73413,60.0,60,0.73,42,40.0,42.0,record
Urban Poverty Alleviation,7800.0,Administrative Expenses,220.0,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201.0,6.77,0.0,8.0,0.0,10.0,10,0.03,5,2.5,2.53,record
Urban Poverty Alleviation,7800.0,Administrative Expenses,230.0,Petty Contingent Expenses,2208002.0,170.6,0.0,222.43,0.0,252.07,0,0.0,0,0.0,0.0,record
Urban Poverty Alleviation,7800.0,Operation & Maintenance,230.0,"Mapping, Plotting & Drawing Expenses",2308005.0,1.42,60.0,40.0,0.90898,44.0,20,0.0,5,5.0,6.0,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,Community Organisation/Mobilisation/Capacity Building/Training,2502007.0,295.17,900.0,650.0,503.0041,5000.0,2100,408.49,800,349.0,515.2,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,Aasara for Old Age Senior Citizens Programme Expenses,2502011.0,13.32,100.0,159.22,11.25092,192.97,0,11.05,1000,204.0,470.5,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,Vikasam (Disable Welfare Programme),2502013.0,0.0,0.0,365.0,636.88485,956.0,2000,1.0,1000,412.0,500.0,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,Night Shelter,2502014.0,0.0,0.0,200.0,18.08006,1000.0,0,6.21,0,33.0,29.2,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,Disbursements to T&S / DWCUA & Self Help Groups Under SJSRY,2503003.0,322.75,350.0,370.0,0.0,503.05,0,0.0,1200,324.0,331.0,record
Urban Poverty Alleviation,7800.0,Programme Expenses,250.0,MEPMA,2503005.0,218.93,1760.0,1050.0,0.0,1558.91,0,32.25,600,161.0,511.0,record
Total for Urban Poverty Alleviation (7800),,,,,,1651.65,3786.08,3546.65,1616.49135,10029.0,4747,859.05,5203,2495.59,3433.36,total
Tax Revenue,9100.0,Establishment Expenses,210.0,Basic Pay,2101001.0,547.24,615.97,550.0,624.35549,550.0,780,657.76,800,1367.82,1462.82,record
Tax Revenue,9100.0,Establishment Expenses,210.0,Dearness Allowance,2101002.0,268.14,247.58,170.0,375.17251,180.0,515,467.34,480,269.88,314.88,record
